key_size
50486
a-a-t---a-:i:total,1
aa--w-lv--:s:total,1
------e--:b:total,1
aba-hin-:s:total,1
abbre--a-ed:i:abbre-ia-ed,1
----e---te:i:total,1
---c-e---l:r:total,1
-b------t-:e:-b--e-e-t-,1
-b--do-e--:r:-b--do-er-,1
a-a-on-s:b:aba-on-s,1
-b-s----:i:-b-s-i--,1
a-at--s:total,2
---r----t--:d:---r----t-d,1
-b-n--ne-s:r:-b-n--ners,1
abandone--:r:total,1
abandon-r-:total,1
abas---nt:e:abase-ent,1
aba---------:e:total,1
aba---------:d:aba-d-------,1
-b--h--n--:e:-b--h-en--,1
aa-dw-lf:r:total,1
-b--d--m----:o:-b--do-m----,1
-b--h-----:n:total,1
a---e--a-e-:total,1
abas-ng:i:abasing,1
---mp-r-:e:total,1
--r-wolves:a:total,1
-----o--e--s:d:total,1
aa--wo----:d:total,1
--s-oge-:total,1
--s---el:a:aas---el,1
a-an-on-r-:d:total,1
-b-se-en-:total,1
--rd-o-ves:l:total,1
--s-oge-:l:total,1
-----m--t:n:total,2
-bb--ie-:c:total,1
---nd-nments:a:total,1
----gh:total,1
aban-onm-nt-:e:total,1
------lv--:w:total,1
---ndonmen--:a:total,1
-----o---:n:total,2
abate-e-t:m:total,1
-bb-t--e-:s:total,1
--r-----e-:s:total,1
--r--olves:total,1
-bb-e-i-te:v:total,1
----w-lf:a:total,1
-b---o-m---s:a:total,1
-------es:b:-bb----es,1
-b--e:a:total,2
-----o-m---:d:total,1
---nd-nmen-:a:total,1
---d--lv--:r:--rd--lv--,1
a-act---al:e:a-acte--al,1
aard--l-e-:o:total,1
a-as----:h:total,1
----o---:b:total,1
---o--ie-:a:a--o--ie-,1
-b--emen-:t:-b--ement,1
-----o---s:d:----do---s,1
aa--o----:s:aas-o---s,1
------l---:r:total,1
a-a-hmen-:t:a-a-hment,1
aa-d-olve-:s:total,1
-b-s--en-s:m:total,1
a-ate--:total,1
-b-te-ent-:a:abate-ent-,1
a-a-e-en--:s:a-ase-en-s,1
-bbo---:c:total,1
---d--l---:o:total,1
a-a-d-------:n:a-and-n--n--,1
--r----ve-:a:aar----ve-,1
-b--------t:o:total,1
-bb--i--:t:-bb-ti--,1
-bbotci-s:e:-bbotcies,1
-bbot-y:a:total,1
a-a-on-:e:total,1
----w---e-:r:total,1
-b--d--m---:o:total,1
a-as---n-s:total,2
abact--ia-:e:total,1
abalone-:s:abalones,1
aa-v-ge--:s:total,1
-b-n-on-rs:e:total,1
--rd---ve-:w:--rdw--ve-,1
aban-on--s:e:aban-one-s,1
aa-vogel:s:aasvogel,1
-b-t-s-s:e:-b-t-ses,1
a-ax-a-:b:abax-a-,1
---vog-l:total,1
aa------e-:r:aar-----e-,1
a-a-eme-t-:b:aba-eme-t-,1
----emen-s:t:---tements,1
aba-p:m:abamp,1
---r--i-t--:e:total,1
-bb-----t--:r:total,1
aasv-gel:total,1
-b-nd-n--:o:total,1
abac--r-al:i:abac--rial,1
-------me---:b:total,1
-bbr-v--t-:e:total,1
-bb---:t:total,1
---ndon--nt-:m:total,1
a-ac-e-ia-:r:a-ac-eria-,1
a-ax--e:l:a-ax-le,1
abas-m--ts:total,2
-----ed:h:total,1
---dwo----:r:--rdwo----,1
------ri--:t:total,1
-bbo-----:t:total,1
a-al-n-s:e:total,1
abbr---a--:t:abbr---at-,1
aard----es:v:total,1
abas----:e:total,1
---sh--nts:m:---shm-nts,1
a-a----ial:c:total,1
----h-e--:n:----h-en-,1
--r----v--:a:aar----v--,1
--rd----es:a:total,1
aban--n--nts:o:aban-on--nts,1
-b-s-me-t:total,1
-b---o-r-:total,1
aar-----e-:l:aar---l-e-,1
a-ash-e--:n:total,1
-bb--i-l:total,1
---s--ly:e:total,1
---t----t:e:---te-e-t,1
----te----:total,1
------i---:v:-----vi---,1
---sh---ts:n:total,1
----d--m----:o:----do-m----,1
-b-l--e-:o:total,1
aa-v--e--:s:total,1
aba-e-:s:abases,1
---ot-i-s:b:total,1
a-a--o-e-s:b:total,1
-b--do----:a:total,2
---cu-e-:s:total,1
-----v----:e:total,1
aal--:i:total,1
---v-g---:e:---v-ge--,1
----h-e--:m:total,1
----h-en--:a:a-a-h-en--,1
a-andon--nt:m:a-andonm-nt,1
a-and-n-r:total,1
---lon--:total,1
-b-c--e-:total,1
aa-d-o----:l:total,1
a-a-a-l-:total,1
-----o-v--:w:----wo-v--,1
abb---:y:total,1
----tci-s:b:total,1
------l-e-:v:total,1
---r--i---d:t:---r--i-t-d,1
aban--n--n-:e:total,1
-b-t-ses:i:total,1
----wolves:a:aa--wolves,1
---s-d-y:a:total,1
--hi--:g:total,1
aar--olve-:d:aard-olve-,1
-------ves:r:total,1
abam--r-:p:total,1
---c-e-i--:b:-b-c-e-i--,1
abash-en-:m:total,1
-b-ct-r--l:e:total,1
a-a--oi-s:b:aba--oi-s,1
a-acu---:s:a-acus-s,1
aband-n-en-s:m:total,1
a-a-pe-es:m:total,1
----e-:t:total,3
-b--d-----t-:s:total,1
--r---lves:total,1
-bbo-c-es:i:-bbo-cies,1
aba-e-e--s:t:abate-e-ts,1
aa------es:d:total,1
---o--ies:total,1
a-an--nmen-s:d:total,1
a-ampe-es:b:abampe-es,1
a-a----rs:i:a-a---irs,1
----or-:total,1
---vo--l:s:--svo--l,1
-----m-nt:b:-b---m-nt,2
aba-h--nt:total,1
-b----d:s:-b-s--d,1
-b--i--:x:-b-xi--,2
-----c--s:i:total,1
---ot-ies:c:---otcies,1
---dw-l--s:total,1
a-ap--al:b:abap--al,1
-b------r-:a:total,1
-b--do--r-:e:-b--do-er-,1
a-a-te--al:r:a-a-ter-al,1
----d--m--t:e:----d--me-t,1
-----m-nt-:h:total,1
aban--n-en--:t:aban--n-ent-,1
-----er---:b:total,1
abb----a--d:e:abb-e--a-ed,1
----p-:total,1
-bb----es:t:-bb-t--es,1
a-a-t-r-a-:e:total,1
-bb-t--:o:-bbot--,1
---n--n-ng:i:---n--ning,1
-b--------t:m:-b-----m--t,1
-----o-m--t:a:a-a--o-m--t,1
abbesses:total,1
a-an-oner-:s:a-an-oners,1
aa-vog---:e:aa-voge--,1
aba-i--:s:total,1
----hm---:t:total,1
-b---o----:s:total,1
aba--d--:l:total,1
----d--ers:o:total,1
---n-on-en-:m:---n-onmen-,1
-b-n--n---:d:total,1
aa---g:n:aa--ng,1
a-a-d----:b:total,1
---se-:r:---ser,1
aba-d-----:n:total,2
--s-o---s:e:total,1
-b-nd-n-r-:o:total,1
a-and-n-en-:o:total,1
---n--nm-nts:a:a-an--nm-nts,1
aba---e--:n:total,1
---m--r-:p:total,1
a-a--o---s:e:a-a--o-e-s,1
aban--nmen-s:t:total,1
aban--nm-nts:o:total,1
---s-m-nts:a:total,2
-b-n-onm-n-:a:aban-onm-n-,1
a---ys:b:abb-ys,1
-b--te----:r:-b--ter---,1
---sers:total,1
--rdwol---:e:--rdwol-e-,1
-----eres:a:a-a--eres,1
----hm-nt-:b:total,1
---iis:a:total,1
-bb---e-:a:total,1
-b--do-me-ts:a:total,1
-b--d--er:o:-b--do-er,1
aardwol--s:v:total,1
aardwo---s:v:total,1
a-a--i-e-:b:aba--i-e-,1
a-an--nm-nts:total,1
aba---:e:total,6
---nd-nment:o:---ndonment,1
-bb--c-:t:total,1
-b--d--me--:a:aba-d--me--,1
a-a-t:f:a-aft,1
---dwo----:total,1
a-a--r-:s:total,3
----w--v-s:total,1
---d--l-e-:o:total,1
aa-d---ve-:r:aard---ve-,1
----h---t:s:total,1
aar-w-l--s:v:aar-w-lv-s,1
---x--l:total,1
-b--do------:a:total,1
a-an-on--n--:m:total,1
a-as-m-n-s:e:total,2
aba--oi-:t:total,1
aba-----e---:o:total,1
-bbo--:t:total,1
a--r---a--:i:total,1
a-a-do------:t:total,1
aba--ca-:p:abap-ca-,1
--rr-hh:g:total,1
---shmen-s:t:total,1
----i--l:total,1
-bb----s:total,1
---ttoi--:b:-b-ttoi--,1
aar-wo-ve-:s:aar-wo-ves,1
---cu-:a:total,1
----wol-:a:aa--wol-,1
aba--i-e-:t:abatti-e-,1
----e-i-te:b:-bb-e-i-te,1
aa-d--l-:w:total,1
abbre-iate:total,1
--s--gels:a:total,1
a-act-rial:total,1
a-a-o-s:r:total,1
---n-onm-n-s:e:---n-onmen-s,1
a-amp---s:b:abamp---s,1
-b-s--e--:m:-b-s-me--,1
-b---n-s:a:total,1
abatti-e-:s:total,1
aba-t---a-:i:total,1
-b--i--:a:aba-ia-,2
-b--t-ri--:total,1
aba-hm----:n:total,1
---dwol---:s:total,1
-------:c:total,1
--rdw-l-e-:s:total,1
a-as---n-s:t:a-as---nts,2
a-ateme-ts:b:abateme-ts,1
abbre--ate:v:total,1
a-a--o-m----:n:total,1
-b-ndon--n--:a:total,1
aard-ol---:v:total,1
-b--h---t:a:total,1
--rdwol-e-:v:total,1
---sh-ents:a:total,1
aba-do---:e:total,1
aba-or-:s:total,1
a---evia-e-:d:a---evia-ed,1
aba-d-----ts:o:aba-do----ts,1
a-amp-r-s:b:total,1
--r-wol--s:v:--r-wolv-s,1
----tci--:a:total,1
---se-en-s:t:total,1
a-a--o----:n:a-an-on-n-,1
a-ac--r-al:b:total,1
-b-ndon-r-:e:total,1
---sh----s:m:total,1
a-a-hment-:b:aba-hment-,1
aa--w-lf:r:total,1
aba-ps:total,1
-----ol-e-:r:--r--ol-e-,1
-b---me-t:n:total,1
-b-se-e-ts:a:abase-e-ts,1
---n--n-en--:m:total,1
---:a:total,4
-----c-e-:s:-----c-es,1
---m-s:a:a-am-s,1
-b---o--e-t-:n:total,1
---n--n-en-s:b:-b-n--n-en-s,1
abacte--al:r:total,1
-b-m-:a:abam-,1
a-an-on--n-:d:total,1
aba-d---e--s:n:total,1
---nd-n--:o:total,1
abbotcie-:s:total,1
----d--e--:a:total,1
a-an-on--n-s:b:total,1
-b--e-l-:d:total,1
abb-eviate-:total,1
aa-d-a---:r:aard-ar--,1
---sh-e-ts:m:---shme-ts,1
-----o--s:i:total,1
------en--:a:total,1
-bb--vi---:r:-bbr-vi---,1
-b-nd-n---:e:total,1
-b-nd-nm-nt:total,1
a---e--a-e-:d:a---e--a-ed,1
a-att-s-s:total,1
aard---ves:w:aardw--ves,1
aa-d-ol---:s:aa-d-ol--s,1
-b---ment:s:total,1
aba--in-:g:aba--ing,1
aa---olve-:d:total,1
aba-es:t:abates,1
