ahimnos:b,6
ahimnos:e,6
ahimnos:l,6
ahimnos:t,6
elvy:a,12
elvy:b,12
elvy:i,12
elvy:o,5
elvy:s,4
elvy:r,9
elvy:t,8
benrs:a,86
benrs:c,31
benrs:d,21
benrs:g,16
benrs:f,5
benrs:i,56
benrs:h,7
benrs:m,15
benrs:l,5
benrs:o,53
benrs:p,6
benrs:u,6
benrs:t,51
benrs:v,16
benrs:y,2
:a,2930
:c,657
:b,2866
:e,1841
:d,801
:g,525
:f,37
:i,1598
:h,278
:k,31
:j,95
:m,434
:l,911
:o,1567
:n,1497
:p,81
:s,1712
:r,1208
:u,564
:t,1547
:w,14
:v,251
:y,247
:x,23
:z,42
ahimnot:s,6
ahimnot:b,6
ahimnot:e,6
ahimnot:l,6
aegio:c,6
aegio:b,26
aegio:l,4
aegio:n,26
aegio:s,16
aegio:r,5
aegio:t,11
aegio:y,4
aegin:c,11
aegin:b,58
aegin:d,18
aegin:m,18
aegin:l,6
aegin:o,26
aegin:s,32
aegin:r,29
aegin:t,39
aegin:v,3
aegin:y,4
aegim:b,18
aegim:d,18
aegim:n,18
aegim:s,10
aegim:r,18
aegim:t,18
aegil:c,4
aegil:b,6
aegil:o,4
aegil:n,6
aegil:s,2
aegil:y,4
elvw:a,4
elvw:s,4
elvw:r,4
elvw:d,4
elvw:o,4
belnorst:a,2
belnorst:i,2
belnorst:m,2
aegiv:r,3
aegiv:b,3
aegiv:t,3
aegiv:n,3
binsy:a,7
binsy:c,2
binsy:e,7
binsy:d,5
binsy:m,5
binsy:l,5
binsy:t,5
aegit:c,3
aegit:b,39
aegit:d,18
aegit:m,18
aegit:o,11
aegit:n,39
aegit:s,21
aegit:r,24
aegit:v,3
aegis:c,2
aegis:b,36
aegis:d,14
aegis:m,10
aegis:l,2
aegis:o,16
aegis:n,32
aegis:r,17
aegis:t,21
aegir:c,3
aegir:b,36
aegir:d,25
aegir:m,18
aegir:o,5
aegir:n,29
aegir:s,17
aegir:t,24
aegir:v,3
adelmsy:i,3
adelmsy:b,3
adelmsy:t,3
adelmsy:n,3
ciostu:a,5
ciostu:n,3
ciostu:b,5
ciostu:d,3
ciostu:l,2
bdginst:a,6
bdginst:e,6
bdginst:r,6
bdginst:m,6
adelmst:i,3
adelmst:y,3
adelmst:b,3
adelmst:n,3
binsv:a,19
binsv:e,16
binsv:g,3
binsv:l,3
binsv:o,15
binsv:r,16
binsv:t,12
binsu:a,26
binsu:c,4
binsu:d,4
binsu:g,5
binsu:j,4
binsu:l,14
binsu:o,26
binsu:p,4
binsu:r,8
binsu:t,26
binsu:z,5
binst:a,148
binst:c,20
binst:e,89
binst:d,31
binst:g,29
binst:f,5
binst:h,16
binst:j,8
binst:m,57
binst:l,48
binst:o,112
binst:p,4
binst:r,59
binst:u,26
binst:v,12
binst:y,5
binst:z,5
bgitz:a,5
bgitz:l,5
bgitz:o,5
bgitz:n,5
bgitz:s,5
bgitz:u,5
abghnor:i,1
lory:a,36
lory:b,36
lory:e,10
lory:g,4
lory:i,27
lory:h,5
lory:m,8
lory:n,26
lory:s,4
lory:u,5
lory:t,28
lory:v,5
loru:a,9
loru:b,9
loru:e,4
loru:i,5
loru:n,5
loru:s,4
loru:t,9
loru:y,5
lort:a,46
lort:b,46
lort:e,28
lort:i,37
lort:h,5
lort:m,11
lort:n,29
lort:s,18
lort:u,9
lort:v,5
lort:y,28
lorw:a,6
lorw:e,4
lorw:d,6
lorw:f,2
lorw:s,4
lorw:v,4
lorv:a,15
lorv:b,11
lorv:e,15
lorv:d,4
lorv:i,5
lorv:s,10
lorv:t,5
lorv:w,4
lorv:y,5
bgitv:a,3
bgitv:r,3
bgitv:e,3
bgitv:n,3
bgitu:a,8
bgitu:c,3
bgitu:d,3
bgitu:l,5
bgitu:o,5
bgitu:n,8
bgitu:s,5
bgitu:z,5
abceijost:n,1
beovy:a,4
beovy:i,4
beovy:r,4
beovy:t,4
beovy:l,4
admnoy:i,2
admnoy:b,2
admnoy:l,2
aiorsty:b,1
aiorsty:l,1
abcfnorst:i,1
abcfnorst:e,1
firs:a,6
firs:c,6
firs:b,6
firs:e,6
firs:o,6
firs:n,6
firs:t,6
dginou:a,1
dginou:b,1
ceinrt:a,14
ceinrt:b,14
ceinrt:g,2
ceinrt:f,7
ceinrt:o,12
ceinrt:s,7
emrst:a,15
emrst:b,15
emrst:d,10
emrst:g,10
emrst:i,15
emrst:l,5
emrst:o,5
emrst:n,15
aiorstv:b,7
aiorstv:e,7
aiorstv:n,6
aiorstu:p,2
aiorstu:j,2
aiorstu:b,4
aiorstu:n,4
ejy:a,4
ejy:c,4
ejy:b,4
ejy:l,4
ejy:t,4
dginst:a,8
dginst:e,8
dginst:b,8
dginst:r,8
dginst:m,8
agnorv:u,3
agnorv:b,3
agnorv:e,3
agnorv:d,3
blnruy:a,3
blnruy:i,3
blnruy:t,3
blnruy:o,3
abeloty:i,2
abeloty:h,2
abeloty:n,2
abeloty:s,1
abeloty:r,4
abeloty:u,1
abeloty:v,2
begimrt:a,10
begimrt:s,6
begimrt:d,10
begimrt:n,10
aelmor:i,4
aelmor:s,4
aelmor:b,4
aelmor:t,4
aelmor:n,4
abgintu:c,1
abgintu:d,1
abgintu:l,3
abgintu:o,3
abgintu:s,3
abgintu:z,3
delm:a,6
delm:b,6
delm:i,6
delm:n,6
delm:s,6
delm:t,6
delm:y,6
rtvy:a,5
rtvy:b,5
rtvy:e,5
rtvy:i,5
rtvy:l,5
rtvy:o,5
begimrs:a,6
begimrs:n,6
begimrs:t,6
begimrs:d,6
deln:a,6
deln:b,6
deln:i,6
deln:m,6
deln:s,6
deln:t,6
deln:y,6
hst:a,36
hst:b,36
hst:e,30
hst:i,28
hst:m,22
hst:l,14
hst:o,14
hst:n,36
inprst:a,3
inprst:b,3
inprst:u,3
inprst:o,3
dels:a,27
dels:b,23
dels:i,18
dels:h,4
dels:m,6
dels:o,17
